episode,step,cat_id,state_mean,state_std,action_idx,intent,reward,done,next_state_mean,next_state_std
2,109,orange,0.032,0.13975,0,idle_wander,0.0,False,0.031899,0.139497
2,110,orange,0.034231,0.15248,0,idle_wander,0.0,False,0.034132,0.152267
2,111,orange,0.010262,0.964713,3,eat,0.0,False,0.009937,0.964535
2,112,orange,0.031899,0.139497,3,eat,0.0,False,0.031906,0.139573
2,113,orange,0.034132,0.152267,3,eat,0.0,False,0.034141,0.152354
2,114,orange,0.009937,0.964535,0,idle_wander,0.0,False,0.079771,0.94881
2,115,orange,0.031906,0.139573,3,eat,0.0,False,0.031698,0.139136
2,116,orange,0.034141,0.152354,3,eat,0.0,False,0.033935,0.151974
2,117,orange,0.079771,0.94881,0,idle_wander,0.0,False,0.079537,0.948781
2,118,orange,0.031698,0.139136,3,eat,0.0,False,0.031772,0.139431
2,119,orange,0.033935,0.151974,3,eat,0.0,False,0.033819,0.151648
2,120,orange,0.079537,0.948781,0,idle_wander,0.0,False,0.079313,0.948792
2,121,orange,0.031772,0.139431,3,eat,0.0,False,0.031548,0.138619
2,122,orange,0.033819,0.151648,3,eat,0.0,False,0.03395,0.152024
2,123,orange,0.079313,0.948792,0,idle_wander,0.0,False,0.079178,0.948879
2,124,orange,0.031548,0.138619,14,stare_at_window,0.0,False,0.031461,0.138565
2,125,orange,0.03395,0.152024,3,eat,0.0,False,0.034172,0.152695
2,126,orange,0.079178,0.948879,0,idle_wander,0.0,False,0.079259,0.948962
2,127,orange,0.031461,0.138565,0,idle_wander,0.0,False,0.031314,0.138628
2,128,orange,0.034172,0.152695,3,eat,0.0,False,0.034357,0.153351
2,129,orange,0.079259,0.948962,0,idle_wander,0.0,False,0.079042,0.948895
2,130,orange,0.031314,0.138628,0,idle_wander,0.0,False,0.030855,0.137774
2,131,orange,0.034357,0.153351,3,eat,0.0,False,0.033874,0.151807
2,132,orange,0.079042,0.948895,0,idle_wander,0.0,False,0.07893,0.948881
2,133,orange,0.030855,0.137774,0,idle_wander,0.0,False,0.030501,0.137529
2,134,orange,0.033874,0.151807,0,idle_wander,0.0,False,0.033567,0.150995
2,135,orange,0.07893,0.948881,8,hide,0.0,False,0.078764,0.948828
2,136,orange,0.030501,0.137529,14,stare_at_window,0.0,False,0.030312,0.1372
2,137,orange,0.033567,0.150995,0,idle_wander,0.0,False,0.03316,0.150097
2,138,orange,0.078764,0.948828,8,hide,0.0,False,0.078446,0.948741
2,139,orange,0.030312,0.1372,0,idle_wander,0.0,False,0.02997,0.136462
2,140,orange,0.03316,0.150097,0,idle_wander,0.0,False,0.0326,0.149125
2,141,orange,0.078446,0.948741,8,hide,0.0,False,0.033135,0.973598
2,142,orange,0.02997,0.136462,0,idle_wander,0.0,False,0.030628,0.138491
2,143,orange,0.0326,0.149125,0,idle_wander,0.0,False,0.032946,0.15074
2,144,orange,0.033135,0.973598,8,hide,0.5,False,0.033057,0.973557
2,145,orange,0.030628,0.138491,0,idle_wander,0.0,False,0.030503,0.13819
2,146,orange,0.032946,0.15074,1,approach_player,-0.1,False,0.032692,0.150387
2,147,orange,0.033057,0.973557,0,idle_wander,0.0,False,0.033001,0.973526
2,148,orange,0.030503,0.13819,0,idle_wander,0.0,False,0.030392,0.137961
2,149,orange,0.032692,0.150387,0,idle_wander,0.0,False,0.032582,0.150094
2,150,orange,0.033001,0.973526,0,idle_wander,0.0,False,0.032943,0.973499
2,151,orange,0.030392,0.137961,0,idle_wander,0.0,False,0.030287,0.137762
2,152,orange,0.032582,0.150094,14,stare_at_window,0.0,False,0.032477,0.149829
2,153,orange,0.032943,0.973499,0,idle_wander,0.0,False,0.078519,0.94876
